"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","강동구","면적","㎡","155528","155528","155528","157528","157528","157528","157528","197486","271370","255538","255537.8","252491","340284","344780",
"합계","기타(서울외)","개소","개소","2","2","3","3","2","1","2","3","1","1","3","3","3","3",
"합계","기타(서울외)","면적","㎡","38325","38325","25295","25295","38325","25295","38325","30295","25295","25295","34195","34195","34195","34195",
"육상경기장","합계","개소","개소","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"육상경기장","합계","면적","㎡","181030","181030","109824","109824","124334","249613","249613","249613","249613","249613","249613","249613","249613","249613",
"육상경기장","종로구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","종로구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","중구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","중구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","용산구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","용산구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","성동구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","성동구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","광진구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","광진구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","동대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","동대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","중랑구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","중랑구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","성북구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","성북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","강북구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","강북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","도봉구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","도봉구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","노원구","개소","개소","","","","","","","","","","","0","-","-","-",
