"체육시설별","자치구별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"체육시설","강남구","시설수","개소","872","1119","1153","1040","1034","1267","1295","1172","1336","1064","1064","1199","1209","1375","1414",
"체육시설","강남구","면적","㎡","304932","373752","394403","356616","348333","418532","332403","134101","347621","347078","341062.27","415565.16","387673","429433","461698.17",
"체육시설","송파구","시설수","개소","724","741","755","766","708","635","442","731","678","707","711","772","799","851","921",
"체육시설","송파구","면적","㎡","306710","274714","290862","242148","268689","205512","185640","236208","237678","275649","277639.09","250554.69","258620","276312","320986",
"체육시설","강동구","시설수","개소","573","588","558","579","579","562","600","608","578","469","469","409","449","483","514",
"체육시설","강동구","면적","㎡","133873","137619","95974","96803","110922","105858","98571","177213","139605","114168","113348.22","159035.75","247938","173067.42","212280.66",
"골프장","서울시","시설수","개소","","","","","","","","","","1","1","1","1","1","1",
"골프장","서울시","면적","㎡","","","","","","","","","","998126","998126","998126","998126","998126","998126",
"골프장","종로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","종로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","중구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","중구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","용산구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","용산구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","성동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","성동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","광진구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","광진구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","동대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","동대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","중랑구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","중랑구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","성북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","성북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","강북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
